[2025-09-24 13:37:14,003] 20 root - INFO - Initiate the data ingestion
[2025-09-24 13:37:16,939] 65 root - INFO - Performed train test split on the dataframe
[2025-09-24 13:37:16,939] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-24 13:37:16,939] 75 root - INFO - Exporting train and test file path.
[2025-09-24 13:37:16,972] 84 root - INFO - Exported train and test file path.
[2025-09-24 13:37:16,972] 22 root - INFO - Data Initiation Completed
[2025-09-24 13:37:16,974] 27 root - INFO - Initiate the data Validation
[2025-09-24 13:37:16,985] 33 root - INFO - Required number of columns:2
[2025-09-24 13:37:16,985] 34 root - INFO - Data frame has columns:31
[2025-09-24 13:37:16,985] 33 root - INFO - Required number of columns:2
[2025-09-24 13:37:16,985] 34 root - INFO - Data frame has columns:31
[2025-09-24 13:37:17,070] 29 root - INFO - data Validation Completed
[2025-09-24 13:37:17,070] 32 root - INFO - data Transformation started
[2025-09-24 13:37:17,070] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-24 13:37:17,070] 66 root - INFO - Starting data transformation
[2025-09-24 13:37:17,080] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-24 13:37:17,080] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-24 13:37:17,084] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 13:37:17,085] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 13:37:17,085] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 13:37:17,088] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 13:37:17,089] 36 root - INFO - data Transformation completed
[2025-09-24 13:37:17,089] 38 root - INFO - Model Training sstared
