[2025-09-24 13:42:58,941] 20 root - INFO - Initiate the data ingestion
[2025-09-24 13:43:02,221] 65 root - INFO - Performed train test split on the dataframe
[2025-09-24 13:43:02,222] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-24 13:43:02,222] 75 root - INFO - Exporting train and test file path.
[2025-09-24 13:43:02,261] 84 root - INFO - Exported train and test file path.
[2025-09-24 13:43:02,261] 22 root - INFO - Data Initiation Completed
[2025-09-24 13:43:02,264] 27 root - INFO - Initiate the data Validation
[2025-09-24 13:43:02,275] 33 root - INFO - Required number of columns:2
[2025-09-24 13:43:02,275] 34 root - INFO - Data frame has columns:31
[2025-09-24 13:43:02,275] 33 root - INFO - Required number of columns:2
[2025-09-24 13:43:02,275] 34 root - INFO - Data frame has columns:31
[2025-09-24 13:43:02,376] 29 root - INFO - data Validation Completed
[2025-09-24 13:43:02,376] 32 root - INFO - data Transformation started
[2025-09-24 13:43:02,376] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-24 13:43:02,376] 66 root - INFO - Starting data transformation
[2025-09-24 13:43:02,388] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-24 13:43:02,388] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-24 13:43:02,395] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 13:43:02,398] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 13:43:02,398] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 13:43:02,404] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 13:43:02,404] 36 root - INFO - data Transformation completed
[2025-09-24 13:43:02,404] 38 root - INFO - Model Training sstared
[2025-09-24 13:44:58,658] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 13:44:58,658] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 13:44:58,658] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 13:44:58,666] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 13:44:58,666] 127 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/09_24_2025_13_42_57/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915014164305949, precision_score=0.9887005649717514, recall_score=0.9943181818181818), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9689641273679968, precision_score=0.9600638977635783, recall_score=0.9780309194467046))
[2025-09-24 13:44:58,668] 43 root - INFO - Model Training artifact created
