[2025-09-24 16:18:05,560] 20 root - INFO - Initiate the data ingestion
[2025-09-24 16:18:08,797] 65 root - INFO - Performed train test split on the dataframe
[2025-09-24 16:18:08,797] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-24 16:18:08,797] 75 root - INFO - Exporting train and test file path.
[2025-09-24 16:18:08,834] 84 root - INFO - Exported train and test file path.
[2025-09-24 16:18:08,834] 22 root - INFO - Data Initiation Completed
[2025-09-24 16:18:08,836] 27 root - INFO - Initiate the data Validation
[2025-09-24 16:18:08,846] 33 root - INFO - Required number of columns:2
[2025-09-24 16:18:08,846] 34 root - INFO - Data frame has columns:31
[2025-09-24 16:18:08,846] 33 root - INFO - Required number of columns:2
[2025-09-24 16:18:08,846] 34 root - INFO - Data frame has columns:31
[2025-09-24 16:18:08,940] 29 root - INFO - data Validation Completed
[2025-09-24 16:18:08,940] 32 root - INFO - data Transformation started
[2025-09-24 16:18:08,940] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-24 16:18:08,940] 66 root - INFO - Starting data transformation
[2025-09-24 16:18:08,949] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-24 16:18:08,949] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-24 16:18:08,953] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 16:18:08,954] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 16:18:08,954] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 16:18:08,957] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 16:18:08,957] 36 root - INFO - data Transformation completed
[2025-09-24 16:18:08,957] 38 root - INFO - Model Training sstared
[2025-09-24 16:20:06,070] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 16:20:06,070] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 16:20:06,070] 44 root - INFO - Entered the save_object method of MainUtils class
[2025-09-24 16:20:06,134] 48 root - INFO - Exited the save_object method of MainUtils class
[2025-09-24 16:20:06,134] 128 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/09_24_2025_16_18_03/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907978562038628, precision_score=0.9881000403388464, recall_score=0.9935104441289799), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.98099474322685, precision_score=0.9727345629510826, recall_score=0.9893964110929854))
[2025-09-24 16:20:06,136] 43 root - INFO - Model Training artifact created
